estimator,estimation_measure,date,estimation,source_read_by_estimator,risk_category,other_notes,source,estimation_numeric
Toby Ord,“Total existential risk” by 2120,2020,~17% (~1 in 6),Yes,total,"Ord writes: ""Don’t take these numbers to be completely objective. [...] And don’t take the estimates to be precise. Their purpose is to show the right order of magnitude, rather than a more precise probability.""

This estimate already incorporates Ord's expectation that people will start taking these risks more seriously in future. For his ""business as usual"" estimate, see the conditional estimates sheet.",The Precipice,
GCR Conference,“Overall risk of extinction prior to 2100”,2008,0.19,Yes,total,This is the median. The report about these estimates also plots the results for each question “with individual response distributions visible” in Appendix A.,https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.19
Will MacAskill,Existential risk in the 21st century,2019/2020,0.01,Yes,total,,https://80000hours.org/podcast/episodes/will-macaskill-paralysis-and-hinge-of-history/#transcript,0.01
"Ben Todd or 80,000 Hours",Extinction risk “in the next century”,2017,Probably at or above 3%,Yes,total,,https://80000hours.org/articles/extinction-risk/,
John Leslie,Risk of extinction over the next five centuries,1996,At or above 30%,No,total,"""The probability of the human race avoiding extinction for the next five centuries is encouragingly high, perhaps as high as 70 percent”","Leslie, J. (1996). The End of the World: the science and ethics of human extinction.",
Martin Rees,Odds that our present civilization on earth will survive to the end of the present century,2003,"≤50% (""no better than fifty-fifty"")",No,total,,"Rees, M. J. (2003). Our final century. Basic Books",
Metaculus responders,"""there be zero living humans on planet earth on January 1, 2100""",,Median: 1%. Mean: 8%.,No,total,That median and mean is as of 3rd July 2019.,https://www.metaculus.com/questions/578/human-extinction-by-2100/,
Nick Bostrom,“existential disaster will do us in”,2002,Probably at or above 25%,No,total,,https://www.nickbostrom.com/existential/risks.html,
Gott III,"The prior probability that ""humanity will cease to exist before 5,100 years or thrive beyond 7.8 million years"" (quote from Beard et al.'s appendix)",1993,5%.,No,total,,"Gott III, J. R. (1993). Implications of the Copernican principle for our future prospects. Nature, 363, 315-319. ",
Wells,Annual probability as of 2009 of extinction,2009,0.3-0.4%,No,total,,"Wells, W. (2009) Human survivability. In: Apocalypse When?. Springer Praxis Books. Praxis https://doi.org/10.1007/978-0-387-09837-1_5 ",
Simpson,“Humanity’s prognosis for the coming century is well approximated by a global catastrophic risk of 0.2% per year.”,2016,0.002,No,total,"Beard et al. seem to imply this is about extinction, but the quote suggests it's about ""global catastrophic risk"".","Simpson, F. (2016). Apocalypse now? Reviving the Doomsday argument. arXiv preprint arXiv:1611.03072. ",0.002
Toby Ord,“Humanity avoids every existential catastrophe and eventually fulfils its potential: achieving something close to the best future open to us”,2020,50% (~1 in 2),Yes,total,,The Precipice,
Frank Tipler,"""Personally, I now think we humans will be wiped out this century""",2019?,,No,total,,"William Poundstone, The Doomsday Calculation, p. 259",
Ozzie Gooen,"""sentient life will survive for at least billions of years""",2020,>20%,Yes,total,"""I think it's fairly likely(>20%) that sentient life will survive for at least billions of years; and that there may be a fair amount of lock-in, so changing the trajectory of things could be great.""",https://forum.effectivealtruism.org/posts/MSYhEatxkEfg46j3D/the-case-of-the-missing-cause-prioritisation-research?commentId=iWkoScDxocaAJE4Jg,
"I will not report the number from Stern Review: The economics of climate change, as it was not actually meant as an estimate.",,,,,total,,,
,,,,,total,,,
Buck Shlegris,"""Overall P(doom)"" (from context, this seems to be a prediction just about P(doom) from AI, or seems to be expecting almost 100% of P(doom) is accounted for by AI, but that's not specified)",2023,0.25,Yes,ai,"""My overall P(doom) is like 25% (though it fluctuates wildly""",https://youtu.be/YTlrPeikoyw?t=1788,0.25
Bensinger's survey of 44 people working on long-term AI risk,"""How likely do you think it is that the overall value of the future will be drastically less than it could have been, as a result of humanity not doing enough technical AI safety research?""",2021,"Mean: ~30%
Median: ~20%",Yes,ai,"""I sent a two-question survey to ~117 people working on long-term AI risk [...] 44 people responded (~38% response rate). In all cases, these represent the views of specific individuals, not an official view of any organization. Since some people's views may have made them more/less likely to respond, I suggest caution in drawing strong conclusions from the results below. Another reason for caution is that respondents added a lot of caveats to their responses (see the anonymized spreadsheet)"".
Bensinger sent the survey directly to ""MIRI's research team, and people who recently left OpenAI (mostly people suggested by Beth Barnes of OpenAI). I [also] sent it to five other groups through org representatives (who I asked to send it to everyone at the org ""who researches long-term AI topics, or who has done a lot of past work on such topics""): OpenAI, the Future of Humanity Institute (FHI), DeepMind, the Center for Human-Compatible AI (CHAI), and Open Philanthropy""
Further details and caveats in the post.",https://forum.effectivealtruism.org/posts/8CM9vZ2nnQsWJNsHx/existential-risk-from-ai-survey-results,
Bensinger's survey of 44 people working on long-term AI risk,"""How likely do you think it is that the overall value of the future will be drastically less than it could have been, as a result of AI systems not doing/optimizing what the people deploying them wanted/intended?""",2021,"Mean: ~40%
Median: ~30%",Yes,ai,,https://forum.effectivealtruism.org/posts/8CM9vZ2nnQsWJNsHx/existential-risk-from-ai-survey-results,
