estimator,estimation_measure,date,estimation,source_read_by_estimator,risk_category,other_notes,source,estimation_numeric
Buck Shlegris,"""Overall P(doom)"" (from context, this seems to be a prediction just about P(doom) from AI, or seems to be expecting almost 100% of P(doom) is accounted for by AI, but that's not specified)",2023,0.25,Yes,ai,"""My overall P(doom) is like 25% (though it fluctuates wildly""",https://youtu.be/YTlrPeikoyw?t=1788,0.25
Bensinger's survey of 44 people working on long-term AI risk,"""How likely do you think it is that the overall value of the future will be drastically less than it could have been, as a result of humanity not doing enough technical AI safety research?""",2021,"Mean: ~30%
Median: ~20%",Yes,ai,"""I sent a two-question survey to ~117 people working on long-term AI risk [...] 44 people responded (~38% response rate). In all cases, these represent the views of specific individuals, not an official view of any organization. Since some people's views may have made them more/less likely to respond, I suggest caution in drawing strong conclusions from the results below. Another reason for caution is that respondents added a lot of caveats to their responses (see the anonymized spreadsheet)"".
Bensinger sent the survey directly to ""MIRI's research team, and people who recently left OpenAI (mostly people suggested by Beth Barnes of OpenAI). I [also] sent it to five other groups through org representatives (who I asked to send it to everyone at the org ""who researches long-term AI topics, or who has done a lot of past work on such topics""): OpenAI, the Future of Humanity Institute (FHI), DeepMind, the Center for Human-Compatible AI (CHAI), and Open Philanthropy""
Further details and caveats in the post.",https://forum.effectivealtruism.org/posts/8CM9vZ2nnQsWJNsHx/existential-risk-from-ai-survey-results,
Bensinger's survey of 44 people working on long-term AI risk,"""How likely do you think it is that the overall value of the future will be drastically less than it could have been, as a result of AI systems not doing/optimizing what the people deploying them wanted/intended?""",2021,"Mean: ~40%
Median: ~30%",Yes,ai,,https://forum.effectivealtruism.org/posts/8CM9vZ2nnQsWJNsHx/existential-risk-from-ai-survey-results,
Joe Carlsmith,"Existential catastrophe by 2070 from scenarios involving ""power-seeking AI"" and some specific conditions being met",2021,~5%,No,ai,"""My current, highly-unstable, subjective estimate is that there is a ~5% percent chance of existential catastrophe by 2070 from scenarios in which (1)-(6) are true"".
This comes from a draft report. By the time you're reading this, Carlsmith may have updated his estimate without me updating what's shown here.",https://forum.effectivealtruism.org/posts/78NoGoRitPzeT8nga/draft-report-on-existential-risk-from-power-seeking-ai,
Survey respondents,Probability of “doom” before 2070 due to the type of problem discussed in Carlsmith's report on existential risk from power-seeking AI,2021,Survey answers ranged from <1% to >50%,No,ai,"My only knowledge of this survey comes from a footnote in Karnofsky's ""Most Important Century"" series which says: ""A more detailed, private survey done for this report, asking about the probability of “doom” before 2070 due to the type of problem discussed in the report, got answers ranging from <1% to >50%. In my opinion, there are very thoughtful people who have seriously considered these matters at both ends of that range.""
2021 is just my guess as to when the survey would've been sent out.",,
Beth Barnes,"""the [AI] persuasion problem as distinct from the alignment problem""",2021,10x smaller than the alignment problem,Yes,ai,"""Overall I think this threat is significantly smaller than more standard alignment failure scenarios (maybe 10x smaller), but comparable enough that interventions could be well worthwhile if they're fairly tractable. [...] How to divide the space is a bit confusing here; I’d say something like ‘the persuasion problem as distinct from the alignment problem’ is 10x smaller, but in fact there’s some overlap, so it might also be reasonable to say something like ‘¼ of alignment-failure-esque xrisk scenarios will have a significant societal-scale persuasion component’, and almost all will have some deception component (and the fact that it’s hard to train your AI to be honest with you will be a key problem)"". See the source for more on what Barnes means by ""the persuasion problem"". ",https://www.alignmentforum.org/posts/5cWtwATHL6KyzChck/risks-from-ai-persuasion,
Rohin Shah,"Probability of existential catastrophe due to the risks highlighted by the ecology / GPT, and ARCHES perspectives",2020,Similar to 10%,Yes,ai,"Rohin summarises the ecology / GPT perspectives from Dafoe (2020) and the ARCHES paper, then writes ""I’ve estimated (AN #80) a 10% chance of existential catastrophe via a failure of intent alignment, absent intervention from longtermists to address intent alignment. Estimates vary quite a lot, even among people who have thought about the problem a lot; I’ve heard as low as < 1% and as high as 80% (though these usually don’t assume “no intervention from longtermists”). It’s harder to estimate the importance of structural risks and extinction risks highlighted in the two summaries above, but the arguments in the previous two posts seem reasonably compelling and I think I’d be inclined to assign a similar importance to it (i.e. similar probability of causing an existential catastrophe). Note that this means I’m disagreeing with Critch: he believes that we are far more likely to go extinct through effects unique to multi-multi dynamics; in contrast I find the argument less persuasive because we do have governance, regulations, national security etc. that would already be trying to mitigate issues that arise in multi-multi contexts, especially things that could plausibly cause extinction.""
This wasn't exactly a quantitative estimate, so is arguably out of scope for this database, but seemed worth including.",https://www.alignmentforum.org/posts/8eX8DJctsACtR2sfX/an-118-risks-solutions-and-prioritization-in-a-world-with,
Toby Ord,Existential catastrophe by 2120 as a result of “unaligned AI”,2020,~10%,Yes,ai,Commentary here: https://forum.effectivealtruism.org/posts/Z5KZ2cui8WDjyF6gJ/some-thoughts-on-toby-ord-s-existential-risk-estimates#What_types_of_catastrophe_are_included_in_the__Unaligned_AI__estimate_,The Precipice,
Rob Wiblin,"""the risk of a severe, even existential catastrophe caused by machine intelligence within the next 100 years""",2017,"""something like 10%""",Yes,ai,"It's unclear what's being estimated here, since ""severe catastrophe"" and ""existential catastrophe"" are extremely different bars. 
I think there's also no indication of how this estimate was arrived at. But this comment is made regarding the article as a whole: ""This profile is based on interviews with: Professor Nick Bostrom at the University of Oxford, the author of Superintelligence; an anonymous leading professor of computer science; Jaan Tallinn, one of the largest donors in the space and the co-founder of Skype; Jan Leike, a machine learning researcher now at DeepMind; Miles Brundage, an AI policy researcher at the Future of Humanity Institute at Oxford University; Nate Soares, the Executive Director of the Machine Intelligence Research Institute; Daniel Dewey, who works full-time finding researchers and funding opportunities in the field; and several other researchers in the area. We also read advice from David Krueger, a Machine Learning PhD student.""","""Positively shaping the development of artificial intelligence""",
Global Catastrophic Risk Conference,Human extinction by 2100 as a result of “superintelligent AI”,2008,0.05,Yes,ai,"This is the median. Beard et al.'s appendix says ""Note that for these predictions no time frame was given."" I think that that's incorrect, based on phrasings in the original source, but I'm not certain.",https://www.fhi.ox.ac.uk/reports/2008-1.pdf,0.05
