category_alias,mean,weighted_mean,confidence_weight_mean,median,std,count,q1,q3,iqr,geometric_mean,weighted_geometric_mean
AI,0.16157894736842104,0.1609719101123595,0.7807017543859649,0.1,0.1549396175538048,19,0.05,0.25,0.2,0.08053586808300311,0.0841584836119666
Biorisk,0.008031888888888889,0.008567,0.7777777777777779,0.0005,0.010397991049289816,9,2e-06,0.019,0.018998,0.0002632484512178985,0.0003483985435399367
"Climate
Change",0.0042325,0.00407047619047619,0.8750000000000001,0.003165,0.004814653847024381,4,0.0006475000000000001,0.00675,0.0061025,0.001479644963623091,0.001439465819849717
Dystopia,0.005,0.005,0.6666666666666666,0.005,,1,0.005,0.005,0.0,0.005000000000000002,0.005000000000000002
Misc,0.12408812500000001,0.12329621212121213,0.6875,0.02085,0.17060189526961103,16,0.0009575,0.2,0.1990425,0.015108859307416936,0.0183357750149363
Nanotech,0.01795,0.01789047619047619,0.8750000000000001,0.01085,0.022472872535570527,4,0.003775,0.025025,0.021249999999999998,0.004520267330778407,0.004810502253072527
"Natural
Risks",0.0009791472614285716,0.0008810919225641027,0.9285714285714286,1.3e-06,0.0025492974434786018,7,5.65e-07,4.58e-05,4.5235e-05,2.771396438361909e-06,2.4492558758891937e-06
Nuclear,0.040522499999999996,0.03451921052631579,0.7916666666666666,0.006500000000000001,0.08624980111778312,8,0.0006975,0.02,0.0193025,0.003833982068849291,0.0030068361833126573
"Total
Risk",0.1549072727272727,0.1558076595744681,0.7121212121212122,0.142,0.15205823417960035,11,0.0375,0.22,0.1825,0.06796535723933561,0.07629309219542091
War,0.027,0.025818181818181817,0.9166666666666667,0.027,0.018384776310850236,2,0.0205,0.0335,0.013000000000000001,0.023664319132398467,0.022561596802718194
